From,To,Mode,Stops,Distance (km),Operators
New Delhi,Mumbai,plane,2,1148,"Air India, IndiGo, Vistara, direct"
Mumbai,Bangalore,plane,1,981,"SpiceJet, IndiGo, AirAsia, direct"
Bangalore,Hyderabad,plane,1,570,"GoAir, IndiGo, SpiceJet, direct"
Hyderabad,Chennai,plane,1,630,"IndiGo, Vistara, Air India, direct"
Chennai,Kolkata,plane,2,1658,"IndiGo, Air India, GoAir, 1 stop"
Kolkata,Pune,plane,2,1583,"SpiceJet, Vistara, AirAsia, 1 stop"
Pune,Ahmedabad,plane,1,661,"IndiGo, Air India, SpiceJet, direct"
New Delhi,Mumbai,train,16,1384,"Rajdhani Express, Indian Railways"
Mumbai,Bangalore,train,24,984,"Udyan Express, Indian Railways"
Bangalore,Hyderabad,train,12,570,"Kacheguda Express, Indian Railways"
Hyderabad,Chennai,train,14,630,"Chennai Express, Indian Railways"
Chennai,Kolkata,train,28,1660,"Coromandel Express, Indian Railways"
Kolkata,Pune,train,30,2045,"Azad Hind Express, Indian Railways"
Pune,Ahmedabad,train,10,661,"Shatabdi Express, Indian Railways"
New Delhi,Mumbai,bus,22,1400,"Volvo AC Sleeper, RedBus.in"
Mumbai,Bangalore,bus,18,984,"VRL Travels, AC Sleeper, MakeMyTrip"
Bangalore,Hyderabad,bus,9,570,"KSRTC, AC Volvo, RedBus.in"
Hyderabad,Chennai,bus,11,630,"APSRTC, AC Volvo, MakeMyTrip"
Chennai,Kolkata,bus,32,1660,"Private Sleeper Bus, RedBus"
Kolkata,Pune,bus,36,2045,"Private AC Bus, MakeMyTrip"
Pune,Ahmedabad,bus,12,661,"GSRTC, AC Volvo, RedBus.in"
